target,prediction
105,1.1263629
77,1.0159099
51,0.9800586
12,0.986411
28,0.9929726
32,0.9768656
11,0.98106736
122,1.1587478
82,1.2202014
98,0.9876578
46,1.0241485
78,0.9907384
78,0.9905906
31,0.99886334
69,1.0015758
44,1.0135518
124,0.97843105
3,0.9946853
33,1.0523435
82,0.9778092
34,1.0053543
94,1.1470759
45,1.0240628
40,1.0127391
101,1.1614194
153,1.1211208
21,0.9464318
67,0.9873323
19,1.0427474
58,0.9804744
30,1.0915754
42,1.0323796
79,0.99052423
38,0.98712116
74,1.0167545
10,0.99677646
150,1.1044409
119,0.979243
99,0.9865906
51,1.0246787
38,0.9579328
37,0.99082303
88,0.98495716
80,0.9867059
117,0.9971795
17,1.0107777
28,0.9769373
42,1.0194609
44,0.9919674
71,1.0084085
77,0.99068385
80,1.0082281
63,1.0201384
110,1.0114336
60,1.026223
31,1.0123501
39,1.0127357
62,1.0202073
49,0.9801683
11,1.018019
105,1.1295844
23,0.98212487
117,1.1509022
100,1.1247241
14,0.9958662
100,1.0193158
75,1.0053612
111,0.9800964
113,0.9911089
77,1.0169554
