id,battery,location.x,location.y,state,distanceToNearestCharger,requestTime,acceptedTime
Drone_75,0.8959999999999999,665,563,2,204,4212,4212
Drone_65,0.5889999999999999,314,832,2,167,4213,4213
Drone_74,0.4904999999999998,376,794,2,170,4225,4225
Drone_88,0.6244999999999999,789,511,2,130,4250,4250
Drone_66,0.8939999999999999,303,243,2,212,4261,4261
Drone_76,0.5285000000000001,764,158,2,78,4270,4270
Drone_44,0.7474999999999999,838,573,2,200,4270,4270
Drone_81,0.7635000000000002,732,156,2,91,4286,4286
Drone_42,0.5074999999999998,727,526,2,154,4292,4292
Drone_16,0.7699999999999999,331,764,2,215,4296,4296
Drone_84,0.6845,236,586,2,150,4310,4310
Drone_57,0.5154999999999997,300,342,2,236,4348,4348
Drone_99,0.8234999999999999,424,814,2,143,4372,4372
Drone_52,0.7684999999999998,761,473,2,93,4383,4383
Drone_45,0.8849999999999999,285,128,2,257,4388,4388
Drone_21,0.7715,804,108,2,129,4399,4399
Drone_80,0.7915,186,560,2,99,4400,4400
Drone_28,0.8564999999999999,309,348,2,231,4408,4408
Drone_34,0.6430000000000002,716,131,2,121,4421,4421
Drone_79,0.7624999999999998,183,265,2,314,4423,4423
Drone_100,0.7275000000000001,201,557,2,114,4454,4454
Drone_14,0.6324999999999998,788,527,2,146,4460,4460
Drone_12,0.6405,235,567,2,148,4468,4468
Drone_55,0.8089999999999999,764,537,2,156,4469,4469
Drone_82,0.7519999999999999,344,774,2,200,4505,4505
Drone_13,0.6839999999999998,800,489,2,110,4508,4508
Drone_43,0.3620000000000001,788,112,2,123,4509,4509
Drone_30,0.7854999999999999,245,813,2,231,4510,4510
Drone_5,0.7289999999999999,406,802,2,156,4521,4521
Drone_6,0.6309999999999999,732,535,2,161,4523,4523
Drone_75,0.8459999999999999,779,535,2,154,4527,4527
Drone_4,0.42599999999999993,237,547,2,150,4536,4536
Drone_71,0.48750000000000016,265,567,2,178,4536,4536
Drone_27,0.3335000000000001,203,557,2,116,4545,4545
Drone_32,0.7645000000000002,792,112,2,123,4595,4595
Drone_81,0.8009999999999999,813,110,2,129,4599,4599
Drone_46,0.4539999999999998,850,453,2,101,4600,4600
Drone_56,0.8395,715,84,2,163,4614,4614
Drone_8,0.4715000000000002,770,156,2,79,4622,4622
Drone_69,0.6475000000000001,205,569,2,118,4625,4625
Drone_64,0.5179999999999999,733,563,2,187,4627,4627
Drone_66,0.8949999999999999,305,202,2,213,4627,4627
Drone_44,0.7669999999999999,834,593,2,219,4629,4629
Drone_88,0.7324999999999998,814,618,2,239,4662,4662
Drone_24,0.817,348,243,2,167,4692,4692
Drone_99,0.9035,277,788,2,225,4709,4709
Drone_85,0.6345000000000002,800,118,2,119,4711,4711
Drone_33,0.594,223,587,2,137,4715,4715
Drone_55,0.8599999999999999,684,566,2,207,4720,4720
Drone_80,0.8474999999999999,241,597,2,157,4730,4730
Drone_52,0.8679999999999999,684,550,2,193,4731,4731
Drone_84,0.663,215,567,2,128,4732,4732
Drone_21,0.768,796,110,2,126,4734,4734
Drone_83,0.3600000000000001,241,537,2,156,4750,4750
Drone_22,0.5465000000000003,722,98,2,148,4779,4779
Drone_62,0.4524999999999998,758,494,2,114,4792,4792
Drone_76,0.5730000000000001,725,124,2,123,4817,4817
Drone_73,0.4225000000000001,810,152,2,88,4826,4826
Drone_65,0.5849999999999999,310,844,2,161,4836,4836
Drone_26,0.2960000000000001,802,145,2,93,4856,4856
Drone_34,0.6615000000000002,703,117,2,139,4874,4874
Drone_13,0.7869999999999998,779,594,2,213,4883,4883
Drone_28,0.8749999999999999,265,243,2,250,4887,4887
Drone_100,0.7215000000000001,193,581,2,107,4897,4897
Drone_74,0.5624999999999998,209,774,2,242,4904,4904
Drone_45,0.8789999999999999,273,311,2,251,4912,4912
Drone_79,0.8159999999999998,122,196,2,369,4938,4938
Drone_12,0.6635,257,557,2,170,4950,4950
Drone_81,0.7795000000000002,785,128,2,107,4953,4953
Drone_32,0.7565000000000001,780,121,2,114,4956,4956
Drone_16,0.819,212,798,2,265,4969,4969
Drone_14,0.6869999999999999,744,579,2,201,4970,4970
Drone_57,0.5994999999999997,197,244,2,318,4977,4977
Drone_44,0.7739999999999998,799,607,2,226,4977,4977
Drone_80,0.8459999999999999,241,576,2,154,5002,5002
Drone_5,0.7654999999999998,422,754,2,191,5005,5005
Drone_30,0.7084999999999998,362,816,2,154,5011,5011
Drone_75,0.8319999999999999,714,507,2,141,5014,5014
Drone_6,0.7119999999999999,772,623,2,242,5015,5015
