timestep,deadDrones,chargingDrones,meanBattery,minAlert,maxAlert,aliveRate,freeChargers,eatingBirds,damage,energy
5869,53,0,0.7209574468085106,0.2031901934164873,0.693275880539986,0.47,30,10,59465,305.09999999999945
5870,53,0,0.7199893617021276,0.2031901934164873,0.693275880539986,0.47,30,10,59477,305.09999999999945
5871,53,0,0.7189893617021276,0.2031901934164873,0.693275880539986,0.47,30,8,59486,305.09999999999945
5872,53,1,0.7180106382978723,0.2031901934164873,0.693275880539986,0.47,30,9,59497,305.09999999999945
5873,53,1,0.7191702127659574,0.2031901934164873,0.693275880539986,0.47,29,9,59506,305.1999999999995
5874,53,1,0.7203191489361701,0.2031901934164873,0.693275880539986,0.47,29,10,59517,305.2999999999994
5875,53,1,0.7214787234042552,0.2031901934164873,0.693275880539986,0.47,29,11,59530,305.3999999999994
5876,53,2,0.7226489361702126,0.2031901934164873,0.693275880539986,0.47,29,8,59541,305.49999999999943
5877,53,2,0.7259468085106382,0.2031901934164873,0.693275880539986,0.47,28,7,59551,305.6999999999995
5878,53,2,0.7292446808510638,0.2031901934164873,0.693275880539986,0.47,28,6,59559,305.8999999999994
5879,53,1,0.730468085106383,0.2031901934164873,0.693275880539986,0.47,29,7,59567,306.09999999999945
5880,53,1,0.7316170212765957,0.2031901934164873,0.693275880539986,0.47,29,7,59576,306.1999999999995
5881,53,1,0.7327765957446808,0.2031901934164873,0.693275880539986,0.47,29,6,59583,306.2999999999994
5882,53,0,0.7327765957446808,0.2031901934164873,0.693275880539986,0.47,30,7,59591,306.3999999999994
5883,53,0,0.7317765957446808,0.2031901934164873,0.693275880539986,0.47,30,9,59600,306.3999999999994
5884,53,0,0.7307872340425531,0.2031901934164873,0.693275880539986,0.47,30,6,59609,306.3999999999994
5885,53,0,0.7297872340425531,0.2031901934164873,0.693275880539986,0.47,30,9,59620,306.3999999999994
5886,53,0,0.7288191489361702,0.2031901934164873,0.693275880539986,0.47,30,10,59633,306.3999999999994
5887,53,0,0.7278297872340425,0.2031901934164873,0.693275880539986,0.47,30,9,59644,306.3999999999994
5888,53,0,0.7268297872340425,0.2031901934164873,0.693275880539986,0.47,30,10,59655,306.3999999999994
5889,53,0,0.7258297872340425,0.2031901934164873,0.693275880539986,0.47,30,7,59666,306.3999999999994
5890,53,0,0.7248617021276595,0.2031901934164873,0.693275880539986,0.47,30,4,59673,306.3999999999994
5891,53,1,0.7238829787234042,0.2031901934164873,0.693275880539986,0.47,30,6,59680,306.3999999999994
5892,53,1,0.7250531914893616,0.2031901934164873,0.693275880539986,0.47,29,5,59687,306.49999999999943
5893,53,1,0.7262021276595744,0.2031901934164873,0.693275880539986,0.47,29,4,59692,306.59999999999945
5894,53,1,0.7273510638297872,0.2031901934164873,0.693275880539986,0.47,29,3,59698,306.6999999999995
5895,53,1,0.7284999999999999,0.2031901934164873,0.693275880539986,0.47,29,5,59703,306.7999999999995
5896,53,2,0.729691489361702,0.2031901934164873,0.693275880539986,0.47,29,7,59711,306.8999999999994
5897,53,1,0.7317978723404255,0.2031901934164873,0.693275880539986,0.47,29,7,59718,307.09999999999945
5898,53,1,0.7329468085106382,0.2031901934164873,0.693275880539986,0.47,29,6,59727,307.1999999999995
5899,53,1,0.734095744680851,0.2031901934164873,0.693275880539986,0.47,29,9,59737,307.2999999999994
5900,53,1,0.7352446808510638,0.2031901934164873,0.693275880539986,0.47,29,14,59752,307.3999999999994
5901,53,0,0.7344255319148936,0.2031901934164873,0.693275880539986,0.47,30,14,59767,307.49999999999943
5902,53,0,0.7334361702127659,0.2031901934164873,0.693275880539986,0.47,30,13,59783,307.49999999999943
5903,53,0,0.7324361702127659,0.2031901934164873,0.693275880539986,0.47,30,8,59797,307.49999999999943
5904,53,0,0.7314361702127659,0.2031901934164873,0.693275880539986,0.47,30,6,59806,307.49999999999943
5905,53,0,0.7304361702127659,0.2031901934164873,0.693275880539986,0.47,30,8,59814,307.49999999999943
5906,53,0,0.7294468085106383,0.2031901934164873,0.693275880539986,0.47,30,7,59823,307.49999999999943
5907,53,0,0.7284468085106383,0.2031901934164873,0.693275880539986,0.47,30,8,59832,307.49999999999943
5908,53,0,0.7274468085106383,0.2031901934164873,0.693275880539986,0.47,30,7,59842,307.49999999999943
5909,53,0,0.7264574468085105,0.2031901934164873,0.693275880539986,0.47,30,9,59852,307.49999999999943
5910,53,0,0.7254574468085105,0.2031901934164873,0.693275880539986,0.47,30,8,59861,307.49999999999943
5911,53,1,0.7244893617021276,0.2031901934164873,0.693275880539986,0.47,30,8,59871,307.49999999999943
5912,53,1,0.7256489361702126,0.2031901934164873,0.693275880539986,0.47,29,8,59881,307.59999999999934
5913,53,1,0.7267978723404255,0.2031901934164873,0.693275880539986,0.47,29,8,59890,307.69999999999936
5914,53,1,0.7279574468085106,0.2031901934164873,0.693275880539986,0.47,29,6,59898,307.7999999999994
5915,53,1,0.7291063829787233,0.2031901934164873,0.693275880539986,0.47,29,6,59904,307.8999999999994
5916,53,1,0.730255319148936,0.2031901934164873,0.693275880539986,0.47,29,9,59913,307.99999999999943
5917,53,1,0.7314148936170212,0.2031901934164873,0.693275880539986,0.47,29,8,59922,308.09999999999934
5918,53,0,0.7309574468085106,0.2031901934164873,0.693275880539986,0.47,30,7,59931,308.19999999999936
5919,53,0,0.7299574468085106,0.2031901934164873,0.693275880539986,0.47,30,5,59939,308.19999999999936
5920,53,0,0.7289787234042553,0.2031901934164873,0.693275880539986,0.47,30,5,59945,308.19999999999936
5921,53,0,0.7279787234042553,0.2031901934164873,0.693275880539986,0.47,30,5,59952,308.19999999999936
5922,53,0,0.7269893617021276,0.2031901934164873,0.693275880539986,0.47,30,5,59957,308.19999999999936
5923,53,0,0.726,0.2031901934164873,0.693275880539986,0.47,30,6,59963,308.19999999999936
5924,53,0,0.725,0.2031901934164873,0.693275880539986,0.47,30,8,59973,308.19999999999936
5925,53,0,0.724,0.2031901934164873,0.693275880539986,0.47,30,7,59983,308.19999999999936
5926,53,0,0.7230212765957446,0.2031901934164873,0.693275880539986,0.47,30,8,59991,308.19999999999936
5927,53,0,0.7220212765957446,0.2031901934164873,0.693275880539986,0.47,30,7,60002,308.19999999999936
5928,53,0,0.7210425531914892,0.2031901934164873,0.693275880539986,0.47,30,8,60010,308.19999999999936
5929,53,0,0.7200425531914892,0.2031901934164873,0.693275880539986,0.47,30,9,60021,308.19999999999936
5930,53,0,0.7190531914893616,0.2031901934164873,0.693275880539986,0.47,30,9,60031,308.19999999999936
5931,53,1,0.7180744680851063,0.2031901934164873,0.693275880539986,0.47,30,7,60040,308.19999999999936
5932,53,1,0.7192340425531915,0.2031901934164873,0.693275880539986,0.47,29,7,60047,308.2999999999994
5933,53,1,0.7203936170212765,0.2031901934164873,0.693275880539986,0.47,29,5,60056,308.3999999999994
5934,53,1,0.7215425531914893,0.2031901934164873,0.693275880539986,0.47,29,6,60062,308.49999999999943
5935,53,1,0.7227021276595744,0.2031901934164873,0.693275880539986,0.47,29,3,60068,308.59999999999934
5936,53,1,0.7238617021276595,0.2031901934164873,0.693275880539986,0.47,29,3,60071,308.69999999999936
5937,53,2,0.7250638297872339,0.2031901934164873,0.693275880539986,0.47,29,5,60076,308.7999999999994
